EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:21:18	0.1000	5.1689	5.1465	0.0000	0.0000	0.0000	0.0000
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:21:33	0.1000	5.1682	5.1442	0.0000	0.0000	0.0000	0.0000
2	21:21:34	0.1000	5.1491	5.1425	0.0000	0.0000	0.0000	0.0000
3	21:21:35	0.1000	5.1152	5.1398	0.0000	0.0000	0.0000	0.0000
4	21:21:36	0.1000	5.0932	5.1379	0.0000	0.0000	0.0000	0.0000
5	21:21:38	0.1000	5.0637	5.1371	0.0000	0.0000	0.0000	0.0000
6	21:21:39	0.1000	5.0312	5.1357	0.0000	0.0000	0.0000	0.0000
7	21:21:40	0.1000	4.9949	5.1338	0.0000	0.0000	0.0000	0.0000
8	21:21:41	0.1000	4.9494	5.1332	0.0000	0.0000	0.0000	0.0000
9	21:21:42	0.1000	4.9048	5.1319	0.0000	0.0000	0.0000	0.0000
10	21:21:44	0.1000	4.8537	5.1309	0.0000	0.0000	0.0000	0.0000
11	21:21:45	0.1000	4.7642	5.1293	0.0000	0.0000	0.0000	0.0000
12	21:21:46	0.1000	4.6820	5.1272	0.0000	0.0000	0.0000	0.0000
13	21:21:47	0.1000	4.5589	5.1255	0.0000	0.0000	0.0000	0.0000
14	21:21:48	0.1000	4.4227	5.1244	0.0000	0.0000	0.0000	0.0000
15	21:21:50	0.1000	4.3015	5.1230	0.0000	0.0000	0.0000	0.0000
16	21:21:51	0.1000	4.1777	5.1218	0.0101	0.0100	0.0101	0.0100
17	21:21:52	0.1000	4.0114	5.1208	0.0101	0.0100	0.0101	0.0100
18	21:21:53	0.1000	3.8544	5.1200	0.0101	0.0100	0.0101	0.0100
19	21:21:54	0.1000	3.6872	5.1192	0.0101	0.0100	0.0101	0.0100
20	21:21:56	0.1000	3.5289	5.1179	0.0202	0.0200	0.0201	0.0200
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:23:28	0.1000	5.1680	5.1474	0.0100	0.0100	0.0100	0.0100
2	21:23:30	0.1000	5.1453	5.1453	0.0100	0.0100	0.0100	0.0100
3	21:23:31	0.1000	5.1236	5.1427	0.0100	0.0100	0.0100	0.0100
4	21:23:33	0.1000	5.0962	5.1415	0.0100	0.0100	0.0100	0.0100
5	21:23:34	0.1000	5.0736	5.1401	0.0200	0.0200	0.0200	0.0200
6	21:23:35	0.1000	5.0380	5.1389	0.0100	0.0100	0.0100	0.0100
7	21:23:36	0.1000	5.0045	5.1380	0.0100	0.0100	0.0100	0.0100
8	21:23:38	0.1000	4.9575	5.1370	0.0100	0.0100	0.0100	0.0100
9	21:23:39	0.1000	4.9251	5.1356	0.0100	0.0100	0.0100	0.0100
10	21:23:41	0.1000	4.8580	5.1347	0.0100	0.0100	0.0100	0.0100
11	21:23:42	0.1000	4.7954	5.1332	0.0100	0.0100	0.0100	0.0100
12	21:23:43	0.0500	4.7138	5.1325	0.0200	0.0200	0.0200	0.0200
13	21:23:44	0.0500	4.6832	5.1324	0.0100	0.0100	0.0100	0.0100
14	21:23:46	0.0500	4.6248	5.1319	0.0100	0.0100	0.0100	0.0100
15	21:23:47	0.0500	4.5550	5.1313	0.0100	0.0100	0.0100	0.0100
16	21:23:49	0.0500	4.4899	5.1309	0.0200	0.0200	0.0200	0.0200
17	21:23:50	0.0500	4.4363	5.1304	0.0300	0.0300	0.0300	0.0300
18	21:23:51	0.0500	4.3760	5.1300	0.0200	0.0200	0.0200	0.0200
19	21:23:52	0.0500	4.3100	5.1299	0.0200	0.0200	0.0200	0.0200
20	21:23:54	0.0500	4.2376	5.1296	0.0100	0.0100	0.0100	0.0100
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
