EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:35:59	0.1000	5.1721	4.8983	0.2716	0.2716	0.2716	0.2716
2	16:37:50	0.1000	4.8660	4.5908	0.2716	0.2716	0.2716	0.2716
3	16:39:50	0.1000	4.5132	4.2280	0.2716	0.2716	0.2716	0.2716
4	16:41:47	0.1000	4.1004	3.9562	0.2716	0.2716	0.2716	0.2716
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:47:12	0.1000	3.6134	3.3266	0.2290	0.2290	0.2290	0.2290
2	16:49:48	0.1000	3.2731	3.1271	0.2885	0.2885	0.2885	0.2885
3	16:52:23	0.1000	3.1055	3.0609	0.2977	0.2977	0.2977	0.2977
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:14:04	0.1000	3.5865	3.3015	0.2716	0.2716	0.2716	0.2716
2	17:16:36	0.1000	3.2257	3.1469	0.2943	0.2943	0.2943	0.2943
3	17:18:57	0.1000	3.0982	3.0263	0.3043	0.3043	0.3043	0.3043
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:44:28	0.1000	3.5829	3.3029	0.2716	0.2716	0.2716	0.2716
2	17:46:42	0.1000	3.2371	3.1561	0.2975	0.2975	0.2975	0.2975
3	17:48:51	0.1000	3.0866	3.0355	0.3018	0.3018	0.3018	0.3018
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:41:17	0.1000	2.3710	1.9953	0.4660	0.4660	0.4660	0.4660
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:07:12	0.1000	3.5603	3.2641	0.2714	0.2714	0.2714	0.2714
2	19:09:17	0.1000	3.2297	3.1546	0.2917	0.2917	0.2917	0.2917
3	19:11:23	0.1000	3.1016	3.0321	0.3017	0.3017	0.3017	0.3017
